English (Chat-GPT v1),English (Chat-GPT v2),English,Turkish,Swedish,Farsi,Hindi
,,Does the bell ring when the clock hits twelve?,Saat on ikiyi vurduğunda zil çalar mı?,Ringer klockan när den slår tolv?,,
,,Dividing ten by two results in exactly five.,Onu ikiye bölmek tam olarak beş eder.,Tio delat med två blir exakt fem.,,
,,The moon looks bright if the sky is clear.,Gökyüzü açıksa ay parlak görünür.,Månen lyser starkt om himlen är klar.,,
,,They fail their tests if they do not study.,Ders çalışmazlarsa sınavlarında başarısız olurlar.,De får underkänt på sina prov om de inte studerar.,,
,,Does the heater turn off when the room is warm?,Oda ısındığında ısıtıcı kapanır mı?,Stänger värmaren av sig när rummet är varmt?,,
,,The camera takes a photo if you pull the trigger.,Tetiği çekersen kamera fotoğraf çeker.,Kameran tar en bild om du trycker av.,,
,,The door locks automatically when you close it.,Kapıyı kapattığınızda otomatik olarak kilitlenir.,Dörren låser sig automatiskt när du stänger den.,,
,,"If it rains later, I will stay home and read.","Daha sonra yağmur yağarsa, evde kalacağım ve okuyacağım.","Om det regnar senare, stannar jag hemma och läser.",,
,,Will you call me if your station arrival is late?,İstasyon varışın gecikirse beni arar mısın?,Kommer du att ringa mig om din stationsankomst är försenad?,,
,,He will fail the exam if he does not study.,"Çalışmazsa, sınavdan kalacak.",Han kommer att kugga på provet om han inte studerar.,,
,,She will buy that dress if it goes on sale.,"O elbise indirime girerse, onu alacak.",Hon kommer att köpa den där klänningen om den reas ut.,,
,,We will take a taxi if we miss the bus.,Otobüsü kaçırırsak taksiye bineceğiz.,Vi tar en taxi om vi missar bussen.,,
,,Will they be angry if we do not invite them?,Onları davet etmezsek kızarlar mı?,Blir de arga om vi inte bjuder in dem?,,
,,I will leave the keys on the table for you.,Anahtarları senin için masanın üzerine bırakacağım.,Jag lämnar nycklarna på bordet åt dig.,,
,,You will feel better if you take this medicine.,Bu ilacı alırsan daha iyi hissedeceksin.,Du kommer att må bättre om du tar den här medicinen.,,
,,We will have a picnic if the weather is nice.,Hava güzel olursa piknik yapacağız.,Vi ska ha en picknick om vädret är fint.,,
,,What will he do if he loses his phone?,Telefonunu kaybederse ne yapacak?,Vad kommer han att göra om han tappar bort sin telefon?,,
,,She will join us if she finishes work early.,"İşini erken bitirirse, bize katılacak.",Hon följer med oss om hon slutar jobbet tidigt.,,
,,We will not go swimming if the water is cold.,Su soğuksa yüzmeye gitmeyeceğiz.,Vi kommer inte att bada om vattnet är kallt.,,
,,He will move to London if they offer the job.,İşi teklif ederlerse Londra'ya taşınacak.,Han kommer att flytta till London om de erbjuder jobbet.,,
,,Will you help me if I have project trouble?,Proje sorunum olursa bana yardım eder misin?,Kommer du att hjälpa mig om jag får problem med projektet?,,
,,I will buy a laptop if I have enough money.,Yeterince param olursa bir laptop alacağım.,Jag ska köpa en bärbar dator om jag har tillräckligt med pengar.,,
,,You will get wet without your large umbrella.,Büyük şemsiyen olmadan ıslanacaksın.,Du blir blöt utan ditt stora paraply.,,
,,He will get a stomach ache from that cake.,O pastadan karnı ağrıyacak.,Han kommer att få ont i magen av den där kakan.,,
,,She will be surprised if she wins the prize.,Ödülü kazanırsa şaşıracak.,Hon kommer att bli överraskad om hon vinner priset.,,
,,We will be late if we do not leave now.,Şimdi çıkmazsak geç kalacağız.,Vi blir sena om vi inte går nu.,,
,,Will they stay in a hotel if it is cancelled?,İptal edilirse bir otelde kalacaklar mı?,Kommer de att bo på ett hotell om det ställs in?,,
,,I will give Mark your message when I see him.,Onu gördüğümde Mark'a mesajını vereceğim.,Jag ska ge Mark ditt meddelande när jag ser honom.,,
,,You will pass the test if you practice daily.,"Her gün pratik yaparsan, sınavı geçersin.",Du kommer att klara provet om du övar dagligen.,,
,,The kids will build a snowman if it snows.,Kar yağarsa çocuklar bir kardan adam yapacaklar.,Barnen kommer att bygga en snögubbe om det snöar.,,
,,Will she move if she finds a good apartment?,İyi bir daire bulursa taşınır mı?,Kommer hon att flytta om hon hittar en bra lägenhet?,,
,,The bread will be warm if we bake it now.,Şimdi pişirirsek ekmek sıcak olacak.,Brödet blir varmt om vi bakar det nu.,,
,,They will not finish the report if the computer breaks.,Bilgisayar bozulursa raporu bitirmeyecekler.,De kommer inte att slutföra rapporten om datorn går sönder.,,
,,I will not sleep if I drink this coffee now.,Şimdi bu kahveyi içersem uyumam.,Jag kommer inte att sova om jag dricker det här kaffet nu.,,
,,Will you be happy if you move abroad?,Yurt dışına taşınırsan mutlu olacak mısın?,Kommer du att bli lycklig om du flyttar utomlands?,,
,,He will get a better salary after the meeting.,Toplantıdan sonra daha iyi bir maaş alacak.,Han kommer att få en bättre lön efter mötet.,,
,,She will see a doctor if her arm hurts.,Kolu ağrırsa doktora gidecek.,Hon kommer att träffa en läkare om hennes arm gör ont.,,
,,We will travel the world if we save enough.,"Yeterince biriktirirsek, dünyayı gezeriz.",Vi kommer att resa jorden runt om vi sparar tillräckligt.,,
,,Will they forgive us if we tell the truth?,Doğruyu söylersek bizi affedecekler mi?,Kommer de att förlåta oss om vi berättar sanningen?,,
,,I will go to the gym tomorrow morning instead.,Bunun yerine yarın sabah spor salonuna gideceğim.,Jag går till gymmet imorgon bitti istället.,,
,,You will miss the flight if you do not hurry.,Acele etmezsen uçağı kaçırırsın.,Du missar flyget om du inte skyndar dig.,,
,,He cannot travel if he forgets his passport.,Pasaportunu unutursa seyahat edemez.,Han kan inte resa om han glömmer sitt pass.,,
,,Will she be cold without a heavy coat?,Kalın bir palto olmadan üşür mü?,Kommer hon att frysa utan en tung kappa?,,
,,We will finish by noon if we start now.,Şimdi başlarsak öğlene kadar bitiririz.,Vi blir klara senast klockan tolv om vi börjar nu.,,
,,They will buy a house if the bank agrees.,Banka kabul ederse bir ev alacaklar.,De kommer att köpa ett hus om banken går med på det.,,
,,I will not go to the cinema if I am tired.,Eğer yorgunsam sinemaya gitmeyeceğim.,Jag kommer inte att gå på bio om jag är trött.,,
,,Will you buy the car at a lower price?,Arabayı daha düşük bir fiyata alır mısın?,Kommer du att köpa bilen till ett lägre pris?,,
,,He will fly to Paris if tickets are cheap.,Biletler ucuz olursa Paris'e uçacak.,Han kommer att flyga till Paris om biljetterna är billiga.,,
,,She will not sign if she dislikes the terms.,Şartları beğenmezse imzalamayacak.,Hon kommer inte att skriva under om hon ogillar villkoren.,,
,,The room will get cold if we stop the heater.,Isıtıcıyı kapatırsak oda soğur.,Rummet kommer att bli kallt om vi stänger av värmaren.,,
,,Will they help us move if we ask them?,Onlardan istersek bize taşınmamızda yardım ederler mi?,Kommer de att hjälpa oss att flytta om vi frågar dem?,,
,,I can wear my old jeans if I lose weight.,Kilo verirsem eski kot pantolonumu giyebilirim.,Jag kan ha på mig mina gamla jeans om jag går ner i vikt.,,
,,Loud music will give you a very bad headache.,Yüksek sesli müzik sana çok kötü bir baş ağrısı verecektir.,Hög musik kommer att ge dig en mycket svår huvudvärk.,,
,,I will cook a special dinner if he cleans.,O temizlerse özel bir akşam yemeği pişireceğim.,Jag lagar en speciell middag om han städar.,,
,,She will be late if the train is delayed.,Tren rötar yaparsa geç kalacak.,Hon blir försenad om tåget är försenat.,,
,,"If we lose, we will give it another shot next week.","Eğer kaybedersek, gelecek hafta bir daha deneyeceğiz.","Om vi förlorar, försöker vi igen nästa vecka.",,
,,Are you sure you want to stay home while I shop?,Ben alışveriş yaparken evde kalmak istediğinden emin misin?,Är du säker på att du vill stanna hemma medan jag handlar?,,
,,"In your place, I would definitely check the weather first.","Senin yerinde olsam, önce kesinlikle havayı kontrol ederdim.",I ditt ställe skulle jag definitivt kolla vädret först.,,
,,You really ought to call your grandmother more often.,Gerçekten büyükanneni daha sık aramalısın.,Du borde verkligen ringa din mormor/farmor oftare.,,
,,Make sure your homework is done before the movie starts.,Film başlamadan önce ödevinin yapıldığından emin ol.,Se till att dina läxor är gjorda innan filmen börjar.,,
,,It would not hurt to bring an umbrella just in case.,Ne olur ne olmaz diye bir şemsiye getirmenin zararı olmaz.,Det skadar inte att ta med ett paraply för säkerhets skull.,,
,,I am inclined to think seeing a specialist makes sense.,Bir uzmana görünmenin mantıklı olduğunu düşünme eğilimindeyim.,Jag lutar åt att tycka att det är vettigt att träffa en specialist.,,
,,"Personally, I would not spend that much money on a phone.","Şahsen, bir telefona o kadar para harcamazdım.",Personligen skulle jag inte spendera så mycket pengar på en telefon.,,
,,We really should not risk being late for the wedding.,Düğüne geç kalmayı kesinlikle göze almamalıyız.,Vi borde verkligen inte riskera att komma för sent till bröllopet.,,
,,I am convinced taking the train saves you from traffic.,Trene binmenin trafikten kurtardığına eminim.,Jag är övertygad om att åka tåg besparar dig trafiken.,,
,,Wearing a helmet is a must whenever you ride.,Her sürüş yaptığında kask takmak zorunludur.,Att bära hjälm är ett måste varje gång du åker.,,
,,It might be worth asking the teacher for an extension.,Öğretmenden ek süre istemeye değebilir.,Det kan vara värt att fråga läraren om en förlängning.,,
,,I suspect she forgot to lock her car today.,Sanırım bugün arabasını kilitlemeyi unuttu.,Jag misstänker att hon glömde att låsa sin bil idag.,,
,,Putting some of your salary aside is a good idea.,Maaşınızın bir kısmını ayırmak iyi bir fikirdir.,Att lägga undan en del av din lön är en bra idé.,,
,,You will likely need to pay before they cut the power.,Elektriği kesmeden önce muhtemelen ödeme yapmanız gerekecek.,Du kommer förmodligen att behöva betala innan de stänger av strömmen.,,
,,An apology now could stop the situation from getting worse.,"Şimdi özür dilemek, durumun daha da kötüleşmesini engelleyebilir.",En ursäkt nu skulle kunna stoppa situationen från att bli värre.,,
,,"If it were up to me, I would try the local seafood.","Bana kalsa, yerel deniz ürünlerini denerdim.","Om det vore upp till mig, skulle jag prova den lokala sjömaten.",,
,,I am not sure your personal data is safe online.,Kişisel verilerinizin çevrimiçi güvende olduğundan emin değilim.,Jag är inte säker på att dina personuppgifter är säkra online.,,
,,Make sure these files are backed up on a drive.,Bu dosyaların bir sürücüye yedeklendiğinden emin olun.,Se till att dessa filer är säkerhetskopierade på en enhet.,,
,,A suit is undoubtedly the safest choice for the interview.,"Takım elbise, mülakat için şüphesiz en güvenli seçimdir.",En kostym är utan tvekan det säkraste valet för intervjun.,,
,,Inviting the neighbors would be a nice touch for the party.,Komşuları davet etmek parti için güzel bir dokunuş olurdu.,Att bjuda in grannarna vore en trevlig detalj till festen.,,
,,I doubt you will pass without studying more seriously.,Daha ciddi çalışmadan geçeceğinden şüpheliyim.,Jag tvivlar på att du kommer att klara dig utan att studera mer seriöst.,,
,,Booking the hotel rooms sooner rather than later is smart.,Otel odalarını erkenden rezerve etmek akıllıcadır.,Att boka hotellrummen snarare förr än senare är smart.,,
,,I am convinced cutting down on phone time would help.,Telefon süresini azaltmanın faydalı olacağına eminim.,Jag är övertygad om att minska telefontiden skulle hjälpa.,,
,,Always look both ways before you cross the street.,Caddeyi geçmeden önce her zaman sağa sola bakın.,Titta alltid åt båda hållen innan du går över gatan.,,
,,I would choose the blue shirt in that situation.,O durumda mavi gömleği seçerdim.,Jag skulle välja den blå skjortan i den situationen.,,
,,He could certainly be more polite when talking to colleagues.,İş arkadaşlarıyla konuşurken kesinlikle daha kibar olabilir.,Han skulle absolut kunna vara mer artig när han pratar med kollegor.,,
,,Getting up early is the only way to catch the bus.,Otobüse yetişmenin tek yolu erken kalkmaktır.,Att gå upp tidigt är det enda sättet att hinna med bussen.,,
,,Take a deep breath and try to stay calm.,Derin bir nefes al ve sakin kalmaya çalış.,Ta ett djupt andetag och försök att behålla lugnet.,,
,,I am fairly certain daily practice will pay off eventually.,Günlük pratiğin sonunda karşılığını vereceğinden oldukça eminim.,Jag är ganska säker på att daglig övning kommer att löna sig så småningom.,,
,,Please keep your voice down while in the library.,Kütüphanedeyken lütfen sesinizi alçaltın.,Var vänlig och sänk rösten på biblioteket.,,
,,Carrying a spare key can save you a lot of trouble.,Yedek anahtar taşımak sizi büyük dertlerden kurtarabilir.,Att ha med sig en reservnyckel kan bespara dig mycket besvär.,,
,,We should help the new student find the office.,Yeni öğrencinin ofisi bulmasına yardım etmeliyiz.,Vi borde hjälpa den nya studenten hitta kontoret.,,
,,Wash your hands properly before you sit down to eat.,Yemek yemeye oturmadan önce ellerinizi iyice yıkayın.,Tvätta händerna ordentligt innan du sätter dig för att äta.,,
,,It is worth asking for a discount on a damaged box.,Hasarlı bir kutu için indirim istemeye değer.,Det är värt att fråga efter rabatt på en skadad låda.,,
,,He should be honest with his parents about the accident.,Kaza hakkında ailesine dürüst olmalı.,Han borde vara ärlig mot sina föräldrar om olyckan.,,
,,I am not sure it is safe to walk home alone.,Eve yalnız yürümenin güvenli olduğundan emin değilim.,Jag är inte säker på att det är säkert att gå hem ensam.,,
,,Joining a local sports club might be a good choice.,Yerel bir spor kulübüne katılmak iyi bir seçim olabilir.,Att gå med i en lokal sportklubb kan vara ett bra val.,,
,,That hole in the roof needs fixing before it rains.,Çatıdaki o deliğin yağmur yağmadan önce tamir edilmesi gerekiyor.,Det hålet i taket behöver lagas innan det regnar.,,
,,Pay close attention to all the safety instructions.,Tüm güvenlik talimatlarına dikkatle riayet edin.,Beakta noga alla säkerhetsinstruktioner.,,
,,Starting the project on Monday morning would really help.,Pazartesi sabahı projeye başlamak gerçekten çok yardımcı olurdu.,Att starta projektet på måndag morgon skulle verkligen hjälpa.,,
,,We should bring a small gift for the host.,Ev sahibi için küçük bir hediye getirmeliyiz.,Vi borde ta med en liten present till värden.,,
,,I agree that checking the oil is a good habit.,Yağı kontrol etmenin iyi bir alışkanlık olduğuna katılıyorum.,Jag håller med om att kontrollera oljan är en god vana.,,
,,Do not drink that milk because it smells bad.,O sütü içme çünkü kötü kokuyor.,Drick inte den mjölken för att den luktar illa.,,
,,I am convinced keeping a record of expenses would help.,Harcamaların kaydını tutmanın faydalı olacağına ikna oldum.,Jag är övertygad om att föra register över utgifter skulle hjälpa.,,
,,Comfortable shoes will make the long walk much easier.,Rahat ayakkabılar uzun yürüyüşü çok daha kolaylaştıracak.,Bekväma skor kommer att göra den långa promenaden mycket lättare.,,
,,I am not entirely sure this address is correct.,Bu adresin tam olarak doğru olduğundan emin değilim.,Jag är inte helt säker på att den här adressen stämmer.,,
,,Taking the back road could save you twenty minutes.,Arka yoldan gitmek sana yirmi dakika kazandırabilir.,Att ta bakvägen skulle kunna spara dig tjugo minuter.,,
,,A stable account is a safer place for his money.,"İstikrarlı bir hesap, parası için daha güvenli bir yerdir.",Ett stabilt konto är en säkrare plats för hans pengar.,,
,,Remember to turn off the oven before leaving the house.,Evden çıkmadan önce fırını kapatmayı unutma.,Kom ihåg att stänga av ugnen innan du lämnar huset.,,
,,I am certain the steak here is the best in town.,Buradaki bifteğin şehirdeki en iyisi olduğuna eminim.,Jag är säker på att biffen här är den bästa i stan.,,
,,Waiting for the sales is smarter for buying furniture.,Mobilya almak için indirimleri beklemek daha akıllıca.,Att vänta på reorna är smartare för att köpa möbler.,,
,,I am more inclined to stay in than go out tonight.,Bu gece dışarı çıkmaktansa evde kalmaya daha meyilliyim.,Jag känner mer för att stanna hemma än att gå ut ikväll.,,
,,Most people choose fresh coffee instead of herbal tea.,Çoğu insan bitki çayı yerine taze kahve tercih eder.,De flesta väljer färskt kaffe istället för örtte.,,
,,She would prefer a quiet office to work in.,Sessiz bir ofiste çalışmayı tercih eder.,Hon skulle föredra ett tyst kontor att arbeta i.,,
,,I am convinced city life suits him better than the country.,Şehir hayatının ona kırsaldan daha iyi geldiğine ikna oldum.,Jag är övertygad om att stadslivet passar honom bättre än landet.,,
,,I would spend money on experiences before buying clothes.,Kıyafet almadan önce deneyimlere para harcardım.,Jag skulle spendera pengar på upplevelser innan jag köpte kläder.,,
,,I am not sure if I prefer the cinema or home.,Sinemayı mı yoksa evde kalmayı mı tercih ettiğimden emin değilim.,Jag är inte säker på om jag föredrar bio eller hemma.,,
,,He would rather play football than watch it on TV.,"O, televizyonda izlemektense futbol oynamayı tercih eder.",Han skulle hellre spela fotboll än titta på det på TV.,,
,,Taking the stairs feels better than a crowded elevator.,"Merdivenleri kullanmak, kalabalık bir asansörden daha iyi geliyor.",Att ta trapporna känns bättre än en full hiss.,,
,,I would choose a walk over sitting at the computer.,Bilgisayar başında oturmaktansa yürüyüş yapmayı tercih ederdim.,Jag skulle välja en promenad framför att sitta vid datorn.,,
,,Does she prefer casual clothes or formal suits?,Günlük kıyafetleri mi yoksa resmi takımları mı tercih eder?,Föredrar hon vardagskläder eller formella kostymer?,,
,,The library is my first choice for silent study.,Sessiz çalışma için ilk tercihim kütüphanedir.,Biblioteket är mitt förstahandsval för tysta studier.,,
,,I suspect they enjoy the ocean more than a pool.,Sanırım havuzdan ziyade okyanustan daha çok keyif alıyorlar.,Jag misstänker att de njuter av havet mer än en pool.,,
,,"If the decision were theirs, a cat would win.","Karar onların olsaydı, bir kedi kazanırdı.","Om beslutet var deras, skulle en katt vinna.",,
,,Jazz appeals to me much more than heavy metal.,"Caz, heavy metalden çok daha fazla bana hitap ediyor.",Jazz tilltalar mig mycket mer än heavy metal.,,
,,He cooks at home whenever possible instead of eating out.,"Dışarıda yemek yemek yerine, mümkün olduğunca evde yemek pişirir.",Han lagar mat hemma så ofta han kan istället för att äta ute.,,
,,I am convinced summer travel is better than winter trips.,Yaz seyahatlerinin kış gezilerinden daha iyi olduğuna ikna oldum.,Jag är övertygad om att sommarresor är bättre än vinterresor.,,
,,I will wait for the bus rather than pay for a taxi.,Taksiye para ödemektense otobüsü bekleyeceğim.,Jag väntar hellre på bussen än att betala för en taxi.,,
,,She enjoys holding a real book more than a screen.,Ekrandan ziyade gerçek bir kitabı elinde tutmaktan keyif alır.,Hon tycker om att hålla en riktig bok mer än en skärm.,,
,,I am not sure if I would pick a hot climate.,"Sıcak bir iklimi tercih eder miydim, emin değilim.",Jag är osäker på om jag skulle välja ett varmt klimat.,,
,,Buying local produce feels like a much better option.,Yerel ürünler satın almak çok daha iyi bir seçenek gibi geliyor.,Att köpa lokalproducerat känns som ett mycket bättre alternativ.,,
,,They do not mind the rain while staying inside.,İçerideyken yağmura aldırmazlar.,De har inget emot regnet när de är inomhus.,,
,,I am not certain if calling is better than texting.,Aramanın mesajlaşmaktan daha iyi olup olmadığından emin değilim.,Jag är inte säker på om att ringa är bättre än att skicka meddelanden.,,
,,I would take an honest loss over a dishonest win.,"Dürüst olmayan bir kazanç yerine, dürüst bir kaybı yeğlerim.",Jag skulle föredra en ärlig förlust framför en oärlig vinst.,,
,,I am convinced cycling beats sitting in traffic for him.,Onun için bisiklet sürmenin trafikte beklemekten daha iyi olduğuna ikna oldum.,Jag är övertygad om att cykling slår att sitta i trafiken för honom.,,
,,A small garden sounds nicer than a big balcony.,"Küçük bir bahçe, büyük bir balkondan daha hoş geliyor.",En liten trädgård låter trevligare än en stor balkong.,,
,,I am sure she prefers water over sugary drinks.,Suyu şekerli içeceklere tercih ettiğinden eminim.,Jag är säker på att hon föredrar vatten framför sockrade drycker.,,
,,I would rather be early than risk being late.,Geç kalma riskini göze almaktansa erken olmayı tercih ederim.,Jag skulle hellre vara tidig än riskera att vara sen.,,
,,Does he enjoy individual sports more than team games?,Bireysel sporları takım sporlarından daha çok sever mi?,Gillar han individuella sporter mer än lagsporter?,,
,,I am convinced learning a language is more exciting than math.,Dil öğrenmenin matematikten daha heyecan verici olduğuna ikna oldum.,Jag är övertygad om att lära sig ett språk är mer spännande än matte.,,
,,They are more comfortable in hotels than camping.,Onlar kamp yapmaktansa otellerde daha rahatlar.,De trivs bättre på hotell än att campa.,,
,,I am certain telling the truth will avoid future trouble.,Doğruyu söylemenin ileride sorunları önleyeceğinden eminim.,Jag är säker på att tala sanning kommer att undvika framtida problem.,,
,,She enjoys working with oils more than watercolors.,Sulu boyaya göre yağlı boyayla çalışmaktan daha çok keyif alıyor.,Hon tycker om att arbeta med olja mer än akvarell.,,
,,I am not sure if I would choose salary or time.,Maaşı mı yoksa zamanı mı seçeceğime emin değilim.,Jag är osäker på om jag skulle välja lön eller tid.,,
,,I would sit in the shade rather than in the sun.,Güneşte oturmaktansa gölgede otururdum.,Jag skulle sitta i skuggan hellre än i solen.,,
,,We would rather explore a museum than a mall.,Bir alışveriş merkezinden ziyade bir müzeyi keşfetmeyi tercih ederiz.,Vi skulle hellre utforska ett museum än ett köpcentrum.,,
,,Talking face to face matters more than video calls.,"Yüz yüze konuşmak, görüntülü aramalardan daha önemlidir.",Att prata ansikte mot ansikte betyder mer än videosamtal.,,
,,I prefer getting up early over working late at night.,Gece geç saatlere kadar çalışmaktansa erken kalkmayı tercih ederim.,Jag föredrar att gå upp tidigt framför att arbeta sent på kvällen.,,
,,They like spicy food far more than bland dishes.,Acı yemekleri yavan yemeklerden çok daha fazla severler.,De gillar stark mat mycket mer än milda rätter.,,
,,Would she be happier at a big company or a startup?,Büyük bir şirkette mi yoksa bir startup'ta mı daha mutlu olurdu?,Skulle hon bli lyckligare på ett stort företag eller en startup?,,
,,I would invest in quality items instead of cheap ones.,Ucuz ürünler yerine kaliteli ürünlere yatırım yapardım.,Jag skulle investera i kvalitetsvaror istället för billiga.,,
,,We would go to a play before choosing a concert.,Konser seçmeden önce tiyatroya giderdik.,Vi skulle gå på en pjäs innan vi valde en konsert.,,
,,He prefers pen and paper over typing on a laptop.,"O, kalem ve kağıdı, laptopta yazmaya tercih eder.",Han föredrar penna och papper framför att skriva på en laptop.,,
,,A quiet dinner sounds better than a loud club.,"Sakin bir akşam yemeği, gürültülü bir kulüpten kulağa daha hoş geliyor.",En lugn middag låter bättre än en högljudd klubb.,,
,,Do they enjoy playing chess more than video games?,Video oyunlarından çok satranç oynamayı mı seviyorlar?,Tycker de om att spela schack mer än datorspel?,,
,,Driving a manual feels much better than an automatic car.,"Manuel araba kullanmak, otomatik arabaya göre çok daha iyi hissettiriyor.",Att köra en manuell bil känns mycket bättre än en automat.,,
,,She plans her weekends around hiking instead of shopping.,Hafta sonlarını alışveriş yapmak yerine yürüyüşe göre planlıyor.,Hon planerar sina helger med vandring istället för shopping.,,
,,We enjoy the morning sun more than the afternoon heat.,Öğleden sonra sıcağından çok sabah güneşinin tadını çıkarırız.,Vi njuter av morgonsolen mer än eftermiddagshettan.,,
,,I would rather live simply than be miserable in luxury.,Lüks içinde mutsuz olmaktansa sade yaşamayı tercih ederim.,Jag skulle hellre leva enkelt än vara olycklig i lyx.,,
,,"If I had to choose, Spanish would come before French.","Seçmem gerekseydi, İspanyolca Fransızcadan önce gelirdi.","Om jag var tvungen att välja, skulle spanska komma före franska.",,
,,He finds cooking at home more relaxing than dining out.,"Evde yemek pişirmeyi, dışarıda yemek yemekten daha rahatlatıcı buluyor.",Han tycker att laga mat hemma är mer avkopplande än att äta ute.,,
,,I finished the quarterly report with only minutes to spare.,Üç aylık raporu sadece dakikalar kala bitirdim.,Jag blev klar med kvartalsrapporten med bara minuter tillgodo.,,
,,He persuaded the board to approve a larger marketing budget.,Yönetim kurulunu daha büyük bir pazarlama bütçesini onaylamaya ikna etti.,Han övertalade styrelsen att godkänna en större marknadsföringsbudget.,,
,,How do you handle difficult clients during a busy week?,Yoğun bir haftada zor müşterilerle nasıl başa çıkarsınız?,Hur hanterar du svåra kunder under en hektisk vecka?,,
,,"Despite the heavy traffic, we arrived at the meeting on time.",Yoğun trafiğe rağmen toplantıya zamanında vardık.,Trots den intensiva trafiken kom vi fram till mötet i tid.,,
,,She eventually found and fixed the software glitch.,"O, sonunda yazılım hatasını bulup düzeltti.",Hon hittade till slut och åtgärdade mjukvarufelet.,,
,,Our team handles much paperwork before any project begins.,"Ekibimiz, herhangi bir proje başlamadan önce birçok evrak işini halleder.",Vårt team hanterar mycket pappersarbete innan något projekt påbörjas.,,
,,Were you able to book a quiet room for Friday?,Cuma için sessiz bir oda ayırtabildin mi?,Kunde du boka ett tyst rum till fredag?,,
,,They met their monthly goals for the third time.,Aylık hedeflerini üçüncü kez tutturdular.,De mötte sina månatliga mål för tredje gången.,,
,,She stepped away to deal with an urgent family matter.,Acil bir aile meselesiyle ilgilenmek için uzaklaştı.,Hon drog sig undan för att ta hand om en brådskande familjeangelägenhet.,,
,,I could not check messages because the internet was down.,Mesajları kontrol edemedim çünkü internet kesikti.,Jag kunde inte kolla meddelanden eftersom internet låg nere.,,
,,"After months of practice, he finally moved into leadership.","Aylarca süren pratikten sonra, sonunda liderliğe geçti.",Efter månaders träning klev han slutligen in i ledarskapet.,,
,,It is hard to concentrate when people keep interrupting me.,İnsanlar sürekli sözümü kestiğinde konsantre olmak zor.,Det är svårt att koncentrera sig när folk hela tiden avbryter mig.,,
,,I am not entirely sure what will happen next.,Bundan sonra ne olacağından tam olarak emin değilim.,Jag är inte helt säker på vad som kommer att hända härnäst.,,
,,There is a slight chance that this could change.,Bunun değişme ihtimali az da olsa var.,Det finns en liten chans att det här kan ändras.,,
,,It seems that something is missing from this file.,Görünüşe göre bu dosyada bir şeyler eksik.,Det verkar som att något saknas i den här filen.,,
,,I honestly do not know if this plan will work.,"Dürüst olmak gerekirse, bu planın işe yarayıp yaramayacağını bilmiyorum.",Jag vet ärligt talat inte om den här planen kommer att fungera.,,
,,"This might be true, but I cannot be certain yet.",Bu doğru olabilir ama henüz emin değilim.,"Detta kan vara sant, men jag kan inte vara säker än.",,
,,"As far as I can tell, the information is correct.","Bildiğim kadarıyla, bilgiler doğru.",Såvitt jag kan bedöma är informationen korrekt.,,
,,"From what I understand, the delivery has been delayed.","Anladığım kadarıyla, teslimat gecikmiş.","Så vitt jag förstår, har leveransen försenats.",,
,,It appears that the situation is getting worse.,Görünüşe göre durum kötüye gidiyor.,Det verkar som att situationen blir värre.,,
,,"I could be wrong, but I suspect a mistake.",Yanılıyor olabilirim,"Jag kan ha fel, men jag misstänker ett misstag.",,
,,That really depends on the situation at the time.,"Bu, o zamanki duruma göre gerçekten değişir.",Det beror verkligen på situationen vid tillfället.,,
,,It is quite hard to say for sure right now.,Şu an kesin bir şey söylemek oldukça zor.,Det är ganska svårt att säga med säkerhet just nu.,,
,,I do not have enough information to decide yet.,Henüz karar vermek için yeterli bilgiye sahip değilim.,Jag har inte tillräckligt med information för att fatta ett beslut än.,,
,,This entire process is still very unclear to me.,Bu sürecin tamamı benim için hala çok net değil.,Hela den här processen är fortfarande mycket oklar för mig.,,
,,We will just have to wait and see what happens.,Bekleyip ne olacağını göreceğiz.,Vi får helt enkelt vänta och se vad som händer.,,
,,Nothing is guaranteed until the contract is signed.,Sözleşme imzalanana kadar hiçbir şey garanti değildir.,Inget är garanterat förrän kontraktet är påskrivet.,,
,,We asked a few friends to help us move furniture.,Birkaç arkadaşımızdan mobilyaları taşımamıza yardım etmelerini istedik.,Vi bad några vänner att hjälpa oss flytta möbler.,,
,,She was voted the most supportive teammate on the trip.,Gezide en destekleyici takım arkadaşı seçildi.,Hon röstades fram som den mest stöttande lagkamraten på resan.,,
,,The front desk keeps track of all lost items.,Resepsiyon tüm kayıp eşyaların kaydını tutar.,Receptionen håller reda på alla borttappade föremål.,,
,,"If this route works, we will arrive much faster.","Bu güzergah işe yararsa, çok daha hızlı varırız.","Om den här rutten fungerar, kommer vi fram mycket snabbare.",,
,,He learned the basics of Italian in four weeks.,İtalyancanın temellerini dört haftada öğrendi.,Han lärde sig grunderna i italienska på fyra veckor.,,
,,I am having trouble sleeping because of the roadworks.,Yol çalışmaları yüzünden uyuyamıyorum.,Jag har svårt att sova på grund av vägarbetet.,,
,,They managed to stay on budget despite rising food prices.,Artan gıda fiyatlarına rağmen bütçede kalmayı başardılar.,De lyckades hålla budgeten trots stigande matpriser.,,
,,They opened the new café much earlier than planned.,Yeni kafeyi planlanandan çok daha erken açtılar.,De öppnade det nya kaféet mycket tidigare än planerat.,,
