Order,Tier,Topic,English,Turkish,Swedish,Farsi,Hindi,Is New
968,Beginner,6. Food & Drink,They said the food at the restaurant was excellent.,Restorandaki yemek mükemmeldi dediler.,De sa att maten på restaurangen var utmärkt.,,,
969,Beginner,6. Food & Drink,She said she would bring a salad to the picnic.,"O, pikniğe bir salata getireceğini söyledi.",Hon sa att hon skulle ta med en sallad till picknicken.,,,
970,Beginner,6. Food & Drink,We will deal with the rest after our lunch break.,Öğle yemeği molamızdan sonra gerisiyle ilgileneceğiz.,Vi tar itu med resten efter lunchrasten.,,,
971,Beginner,6. Food & Drink,Coffee beans are still picked by hand for quality.,Kahve çekirdekleri kalite için hala elle toplanır.,Kaffebönor plockas fortfarande för hand för kvalitetens skull.,,,
972,Beginner,6. Food & Drink,Dinner was prepared for visiting officials.,Misafir yetkililer için akşam yemeği hazırlandı.,Middag tillreddes för besökande tjänstemän.,,,
973,Beginner,6. Food & Drink,Is there a restaurant that serves real Japanese ramen?,Gerçek Japon ramen'i servis eden bir restoran var mı?,Finns det en restaurang som serverar äkta japansk ramen?,,,
974,Beginner,6. Food & Drink,The recipe I followed was much harder than I expected.,Uyguladığım tarif beklediğimden çok daha zordu.,Receptet jag följde var mycket svårare än jag hade förväntat mig.,,,
975,Beginner,6. Food & Drink,The cake she baked was topped with fresh fruit.,Yaptığı pastanın üzeri taze meyvelerle kaplıydı.,Tårtan hon bakade var toppad med färsk frukt.,,,
976,Beginner,6. Food & Drink,The birds were singing while I drank my morning coffee.,Ben sabah kahvemi içerken kuşlar ötüyordu.,Fåglarna sjöng medan jag drack mitt morgonkaffe.,,,
977,Beginner,6. Food & Drink,I was cooking pasta when I remembered the guests.,Makarna pişiriyordum ki misafirleri hatırladım.,Jag lagade pasta när jag kom ihåg gästerna.,,,
978,Beginner,6. Food & Drink,Candles flickered while we ate our anniversary dinner.,Yıldönümü yemeğimizi yerken mumlar titriyordu.,Ljusen flämtade medan vi åt vår årsdagsmiddag.,,,
979,Beginner,6. Food & Drink,Arriving early was realistic without that long lunch.,O uzun öğle yemeği olmasaydı erken varmak gerçekçiydi.,Att komma tidigt var realistiskt utan den långa lunchen.,,,
980,Beginner,6. Food & Drink,Shared calendars could have avoided the schedule mix-up.,"Paylaşılan takvimler, program karışıklığını önleyebilirdi.",Delade kalendrar hade kunnat undvika schemastrul.,,,
981,Beginner,6. Food & Drink,A bigger breakfast would have helped during the long drive.,Uzun yolculuk sırasında daha büyük bir kahvaltı yardımcı olurdu.,En större frukost skulle ha hjälpt under den långa bilresan.,,,
982,Beginner,6. Food & Drink,Formal clothes would have suited the dinner much better.,Resmi kıyafetler akşam yemeğine çok daha iyi yakışırdı.,Formella kläder skulle ha passat middagen mycket bättre.,,,
983,Beginner,6. Food & Drink,Asking for the recipe would have been a smart idea.,Tarifi sormak akıllıca bir fikir olurdu.,Att fråga efter receptet hade varit en smart idé.,,,
984,Beginner,6. Food & Drink,How do trade conflicts affect global food prices?,Ticaret çatışmaları küresel gıda fiyatlarını nasıl etkiler?,Hur påverkar handelskonflikter globala matpriser?,,,
985,Beginner,6. Food & Drink,Does organic food cost too much for most people?,Organik gıdalar çoğu insan için çok mu pahalı?,Kostar ekologisk mat för mycket för de flesta?,,,
986,Beginner,6. Food & Drink,She had never cooked for that many people before.,Daha önce hiç o kadar çok kişiye yemek yapmamıştı.,Hon hade aldrig lagat mat åt så många personer tidigare.,,,
987,Beginner,6. Food & Drink,They realized the mistake as soon as the food arrived.,Yemek gelir gelmez hatayı fark ettiler.,De insåg misstaget så fort maten kom.,,,
988,Beginner,6. Food & Drink,Only after tasting the sauce did the dish make sense.,Ancak sosu tattıktan sonra yemek anlam kazandı.,Först efter att ha smakat såsen gav rätten mening.,,,
989,Beginner,6. Food & Drink,The café stayed quiet until the lunch crowd arrived.,"Kafe, öğle yemeği kalabalığı gelene kadar sessiz kaldı.",Kaféet förblev tyst tills lunchrusningen kom.,,,
990,Beginner,6. Food & Drink,What delayed the order was a stock issue.,Siparişi geciktiren şey bir stok sorunuydu.,Det som fördröjde beställningen var ett lagerproblem.,,,
991,Beginner,6. Food & Drink,The meal worked because the ingredients were very simple.,Yemek işe yaradı çünkü malzemeler çok basitti.,Måltiden fungerade därför att ingredienserna var mycket enkla.,,,
992,Beginner,6. Food & Drink,There are fears that the drought could cause food shortages.,Kuraklığın gıda kıtlığına neden olabileceğine dair endişeler var.,Det finns farhågor att torkan skulle kunna orsaka livsmedelsbrist.,,,
993,Beginner,6. Food & Drink,Next March marks three full years of sobriety for me.,"Önümüzdeki mart ayında, benim için üç tam yıllık ayık kalışım dolmuş olacak.",Nästa mars fyller jag tre hela år som nykter.,,,
994,Beginner,7. Time & Days,He goes to the library after class.,"O, dersten sonra kütüphaneye gider.",Han går till biblioteket efter lektionen.,,,
995,Beginner,7. Time & Days,I feel happy today.,Bugün mutluyum.,Jag känner mig glad idag.,,,
996,Beginner,7. Time & Days,I feel tired this evening.,Bu akşam yorgun hissediyorum.,Jag känner mig trött i kväll.,,,
997,Beginner,7. Time & Days,She feels angry this morning.,O bu sabah kızgın hissediyor.,Hon känner sig arg i morse.,,,
998,Beginner,7. Time & Days,He feels sick today.,Bugün kendini hasta hissediyor.,Han mår illa idag,,,
999,Beginner,7. Time & Days,I go to the city today.,Bugün şehre gidiyorum.,Jag åker till stan idag.,,,
1000,Beginner,7. Time & Days,It rains for three hours.,Üç saattir yağmur yağıyor.,Det regnar i tre timmar.,,,
1001,Beginner,7. Time & Days,The bus arrives in five minutes.,Otobüs beş dakikaya gelir.,Bussen kommer om fem minuter.,,,
1002,Beginner,7. Time & Days,The train leaves at seven o'clock.,Tren saat yedide kalkar.,Tåget avgår klockan sju.,,,
1003,Beginner,7. Time & Days,She arrives early today.,O bugün erken geliyor.,Hon kommer tidigt idag.,,,
1004,Beginner,7. Time & Days,We meet at nine in the morning.,Sabah saat dokuzda buluşuyoruz.,Vi ses klockan nio på morgonen.,,,
1005,Beginner,7. Time & Days,The taxi arrives in ten minutes.,Taksi on dakikaya gelir.,Taxin anländer om tio minuter.,,,
1006,Beginner,7. Time & Days,You arrive at the gym every evening.,Her akşam spor salonuna gelirsin.,Du kommer till gymmet varje kväll.,,,
1007,Beginner,7. Time & Days,She arrives at the airport on Sunday.,Pazar günü havaalanına varır.,Hon kommer till flygplatsen på söndag.,,,
1008,Beginner,7. Time & Days,She leaves her office late on Wednesdays.,Çarşamba günleri ofisinden geç ayrılır.,Hon lämnar sitt kontor sent på onsdagar.,,,
1009,Beginner,7. Time & Days,They arrive in the city on Thursday evening.,Perşembe akşamı şehre varıyorlar.,De anländer till staden på torsdag kväll.,,,
1010,Beginner,7. Time & Days,Does the ferry leave every hour?,Feribot her saat başı kalkıyor mu?,Går färjan varje timme?,,,
1011,Beginner,7. Time & Days,You arrive home late on Tuesdays.,Salı günleri eve geç gelirsin.,Du kommer hem sent på tisdagar.,,,
1012,Beginner,7. Time & Days,We arrive at the beach in June.,Haziran'da plaja varırız.,Vi kommer till stranden i juni.,,,
1013,Beginner,7. Time & Days,The spring arrives in March.,İlkbahar Mart'ta gelir.,Våren kommer i mars.,,,
1014,Beginner,7. Time & Days,I leave the office on Friday afternoon.,Cuma öğleden sonra ofisten ayrılırım.,Jag lämnar kontoret på fredag eftermiddag.,,,
1015,Beginner,7. Time & Days,I feel calmer after sitting for ten minutes.,On dakika oturduktan sonra daha sakin hissediyorum.,Jag känner mig lugnare efter att ha suttit i tio minuter.,,,
1016,Beginner,7. Time & Days,We waited for twenty minutes and talked.,Yirmi dakika bekledik ve konuştuk.,Vi väntade i tjugo minuter och pratade.,,,
1017,Beginner,7. Time & Days,The red car stays outside all night.,Kırmızı araba bütün gece dışarıda kalır.,Den röda bilen står ute hela natten.,,,
1018,Beginner,7. Time & Days,I should book a dentist appointment soon.,Yakında bir dişçi randevusu almalıyım.,Jag borde boka en tandläkartid snart.,,,
1019,Beginner,7. Time & Days,My muscles feel very stiff today.,Bugün kaslarım çok tutuk.,Mina muskler känns väldigt stela idag.,,,
1020,Beginner,7. Time & Days,The blue sky is clear this morning.,Mavi gökyüzü bu sabah açık.,Den blå himlen är klar i morse.,,,
1021,Beginner,7. Time & Days,The rain is very heavy this afternoon.,Bu öğleden sonra yağmur çok şiddetli.,Regnet är mycket kraftigt i eftermiddag.,,,
1022,Beginner,7. Time & Days,The moon is bright in the night sky.,"Ay, gece gökyüzünde parlaktır.",Månen är ljus på natthimlen.,,,
1023,Beginner,7. Time & Days,Do the birds sing in the early morning.,Kuşlar sabahın erken saatlerinde öter mi?,Sjunger fåglarna tidigt på morgonen?,,,
1024,Beginner,7. Time & Days,The lake is calm and blue today.,Göl bugün sakin ve mavi.,Sjön är lugn och blå idag.,,,
1025,Beginner,7. Time & Days,The afternoon is dark because of the clouds.,Öğleden sonra bulutlar yüzünden karanlık.,Eftermiddagen är mörk på grund av molnen.,,,
1026,Beginner,7. Time & Days,Does it rain often in the autumn?,Sonbaharda sık sık yağmur yağar mı?,Regnar det ofta på hösten?,,,
1027,Beginner,7. Time & Days,The sand is hot on the beach today.,Sahilde kumlar bugün çok sıcak.,Sanden är varm på stranden idag.,,,
1028,Beginner,7. Time & Days,It feels quite dusty in the city today.,Şehirde bugün oldukça tozlu bir hava var gibi.,Det känns rätt dammigt i staden idag.,,,
1029,Beginner,7. Time & Days,The morning is misty in the fields.,Sabah tarlalarda sisli.,Morgonen är dimmig på fälten.,,,
1030,Beginner,7. Time & Days,The evening is cool enough to stay outside.,Akşam dışarıda kalacak kadar serin.,Kvällen är sval nog för att stanna ute.,,,
1031,Beginner,7. Time & Days,The area becomes very quiet at night.,Bölge geceleri çok sessiz olur.,Området blir väldigt tyst på natten.,,,
1032,Beginner,7. Time & Days,"I’m looking for a shop, but I may be in the wrong area.","Bir dükkan arıyorum, ama yanlış bölgede olabilirim.","Jag letar efter en butik, men jag kanske är i fel område.",,,
1033,Beginner,7. Time & Days,I wonder what they’re serving today.,Bugün ne servis ettiklerini merak ediyorum.,Jag undrar vad de serverar idag.,,,
1034,Beginner,7. Time & Days,"There may be a free space, but it fills up quickly.","Boş bir alan olabilir, ama hızla dolar.","Det kan finnas en ledig plats, men den fylls snabbt.",,,
1035,Beginner,7. Time & Days,The manager can organize the weekly meetings.,Yönetici haftalık toplantıları düzenleyebilir.,Chefen kan organisera veckomötena.,,,
1036,Beginner,7. Time & Days,He cannot attend the conference tomorrow morning.,Yarın sabah konferansa katılamaz.,Han kan inte närvara på konferensen imorgon bitti.,,,
1037,Beginner,7. Time & Days,We cannot accept any more clients this month.,Bu ay başka müşteri kabul edemeyiz.,Vi kan inte acceptera fler kunder den här månaden.,,,
1038,Beginner,7. Time & Days,They might be able to install the update today.,Onlar güncellemeyi bugün yükleyebilirler.,De kanske kan installera uppdateringen idag.,,,
1039,Beginner,7. Time & Days,He cannot work today because of a safety rule.,O bugün bir güvenlik kuralı nedeniyle çalışamıyor.,Han kan inte arbeta idag på grund av en säkerhetsregel.,,,
1040,Beginner,7. Time & Days,The driver could deliver the package today.,Sürücü paketi bugün teslim edebilir.,Föraren kunde leverera paketet idag.,,,
1041,Beginner,7. Time & Days,She cannot work late on school nights.,"O, okul gecelerinde geç çalışamaz.",Hon kan inte arbeta sent på skoldagar.,,,
1042,Beginner,7. Time & Days,He always makes sure the door is locked.,Kapının kilitli olduğundan her zaman emin olur.,Han ser alltid till att dörren är låst.,,,
1043,Beginner,7. Time & Days,Sometimes she buys flowers for her guests.,Bazen misafirleri için çiçekler alır.,Ibland köper hon blommor till sina gäster.,,,
1044,Beginner,7. Time & Days,He rarely complains even when the job is difficult.,İş zor olsa bile nadiren şikayet eder.,Han klagar sällan även när jobbet är svårt.,,,
1045,Beginner,7. Time & Days,He came home very late from the office.,Ofisten eve çok geç geldi.,Han kom hem väldigt sent från kontoret.,,,
1046,Beginner,7. Time & Days,She took the early train to the city.,Erken trenle şehre gitti.,Hon tog det tidiga tåget till staden.,,,
1047,Beginner,7. Time & Days,They stood in the long queue for an hour.,Uzun kuyrukta bir saat beklediler.,De stod i den långa kön i en timme.,,,
1048,Beginner,7. Time & Days,I slept for ten hours last Saturday night.,Geçen Cumartesi gecesi on saat uyudum.,Jag sov i tio timmar i lördags natt.,,,
1049,Beginner,7. Time & Days,You understood the lesson very well.,Dersi çok iyi anladınız.,Du förstod lektionen mycket väl.,,,
1050,Beginner,7. Time & Days,He told me a funny story yesterday.,Dün bana komik bir hikaye anlattı.,Han berättade en rolig historia för mig igår.,,,
1051,Beginner,7. Time & Days,They bought a new car last month.,Geçen ay yeni bir araba satın aldılar.,De köpte en ny bil förra månaden.,,,
1052,Beginner,7. Time & Days,I began my new project last Monday.,Geçen Pazartesi yeni projeme başladım.,Jag började mitt nya projekt förra måndagen.,,,
1053,Beginner,7. Time & Days,We heard a strange noise in the night.,Gece garip bir ses duyduk.,Vi hörde ett konstigt ljud i natten.,,,
1054,Beginner,7. Time & Days,I walked to the quiet park yesterday afternoon.,Dün öğleden sonra sessiz parka yürüdüm.,Jag gick till den tysta parken igår eftermiddag.,,,
1055,Beginner,7. Time & Days,You talked to the manager about the unclear schedule.,Müdürle belirsiz program hakkında konuştun.,Du pratade med chefen om det otydliga schemat.,,,
1056,Beginner,7. Time & Days,We finished the project early and reviewed it.,Projeyi erken bitirdik ve gözden geçirdik.,Vi avslutade projektet tidigt och granskade det.,,,
1057,Beginner,7. Time & Days,They watched a movie last night and enjoyed it.,Dün gece bir film izlediler ve keyif aldılar.,De såg en film igår kväll och gillade den.,,,
1058,Beginner,7. Time & Days,I started a new exercise routine on Monday.,Pazartesi günü yeni bir egzersiz rutinine başladım.,Jag började en ny träningsrutin i måndags.,,,
1059,Beginner,7. Time & Days,You waited for the bus for twenty minutes.,Yirmi dakika otobüsü bekledin.,Du väntade på bussen i tjugo minuter.,,,
1060,Beginner,7. Time & Days,She closed the store at eight o'clock.,Mağazayı saat sekizde kapattı.,Hon stängde butiken klockan åtta.,,,
1061,Beginner,7. Time & Days,You spent an hour at the gym today.,Bugün spor salonunda bir saat geçirdin.,Du tillbringade en timme på gymmet idag.,,,
1062,Beginner,7. Time & Days,She felt calm walking through the forest this morning.,Bu sabah ormanda yürürken kendini huzurlu hissetti.,Hon kände sig lugn när hon gick genom skogen i morse.,,,
1063,Beginner,7. Time & Days,Traveling to Spain next month is an exciting plan.,Gelecek ay İspanya'ya seyahat etmek heyecan verici bir plan.,Att åka till Spanien nästa månad är en spännande plan.,,,
1064,Beginner,7. Time & Days,Are you studying today or waiting until tomorrow?,Bugün ders çalışıyor musun yoksa yarına mı bekliyorsun?,Pluggar du idag eller väntar du tills imorgon?,,,
1065,Beginner,7. Time & Days,They hope to learn Italian over the next year.,Önümüzdeki yıl içinde İtalyanca öğrenmeyi umut ediyorlar.,De hoppas att lära sig italienska under nästa år.,,,
1066,Beginner,7. Time & Days,We will relax by the pool after a busy week.,Yoğun bir haftadan sonra havuz başında rahatlayacağız.,Vi ska koppla av vid poolen efter en hektisk vecka.,,,
1067,Beginner,7. Time & Days,Work feels busier than it did on Monday.,İş Pazartesi gününden daha yoğun hissediliyor.,Arbetet känns hektiskare än det gjorde i måndags.,,,
1068,Beginner,7. Time & Days,The weather feels colder than it was last night.,Hava dün geceden daha soğuk hissediliyor.,Vädret känns kallare än det var igår kväll.,,,
1069,Beginner,7. Time & Days,There is a new art exhibition in town this week.,Bu hafta şehirde yeni bir sanat sergisi var.,Det är en ny konstutställning i stan den här veckan.,,,
1070,Beginner,7. Time & Days,Tickets are usually much cheaper when bought online.,Biletler internetten alındığında genellikle çok daha ucuz olur.,Biljetter är oftast mycket billigare när de köps online.,,,
1071,Beginner,7. Time & Days,Would you like to drive my new car today?,Bugün yeni arabamı kullanmak ister misin?,Skulle du vilja köra min nya bil idag?,,,
1072,Beginner,7. Time & Days,There are too many people on the train today.,Bugün trende çok fazla insan var.,Det är för många människor på tåget idag.,,,
1073,Beginner,7. Time & Days,There are too many tourists in the museum today.,Bugün müzede çok fazla turist var.,Det är för många turister på museet idag.,,,
1074,Beginner,7. Time & Days,I feel happy because I finished my project today.,Mutlu hissediyorum çünkü bugün projemi bitirdim.,Jag känner mig glad för att jag avslutade mitt projekt idag.,,,
1075,Beginner,7. Time & Days,"Traffic is heavy, so you are late for work.","Trafik yoğun, bu yüzden işe geç kaldın.","Det är mycket trafik, så du är sen till jobbet.",,,
1076,Beginner,7. Time & Days,Has she met the new neighbors from the second floor?,İkinci kattaki yeni komşularla tanıştı mı?,Har hon träffat de nya grannarna från andra våningen?,,,
1077,Beginner,7. Time & Days,I forgot to bring the files with me today.,Bugün dosyaları yanıma getirmeyi unuttum.,Jag glömde att ta med filerna med mig idag.,,,
1078,Beginner,7. Time & Days,He slept for twelve hours because he was tired.,Yorgun olduğu için on iki saat uyudu.,Han sov i tolv timmar eftersom han var trött.,,,
1079,Beginner,7. Time & Days,We talked about our plans for the afternoon.,Öğleden sonraki planlarımız hakkında konuştuk.,Vi pratade om våra planer för eftermiddagen.,,,
1080,Beginner,7. Time & Days,They played football for the entire afternoon.,Onlar tüm öğleden sonra futbol oynadılar.,De spelade fotboll hela eftermiddagen.,,,
1081,Beginner,7. Time & Days,"If we exercise daily, our bodies stay strong.","Her gün egzersiz yaparsak, vücudumuz güçlü kalır.","Om vi tränar dagligen, håller sig våra kroppar starka.",,,
1082,Beginner,7. Time & Days,Will you call me if your station arrival is late?,İstasyon varışın gecikirse beni arar mısın?,Kommer du att ringa mig om din stationsankomst är försenad?,,,
1083,Beginner,7. Time & Days,We will be late if we do not leave now.,Şimdi çıkmazsak geç kalacağız.,Vi blir sena om vi inte går nu.,,,
1084,Beginner,7. Time & Days,He will get a better salary after the meeting.,Toplantıdan sonra daha iyi bir maaş alacak.,Han kommer att få en bättre lön efter mötet.,,,
1085,Beginner,7. Time & Days,I will go to the gym tomorrow morning instead.,Bunun yerine yarın sabah spor salonuna gideceğim.,Jag går till gymmet imorgon bitti istället.,,,
1086,Beginner,7. Time & Days,She will be late if the train is delayed.,Tren rötar yaparsa geç kalacak.,Hon blir försenad om tåget är försenat.,,,
1087,Beginner,7. Time & Days,"If we lose, we will give it another shot next week.","Eğer kaybedersek, gelecek hafta bir daha deneyeceğiz.","Om vi förlorar, försöker vi igen nästa vecka.",,,
1088,Beginner,7. Time & Days,I suspect she forgot to lock her car today.,Sanırım bugün arabasını kilitlemeyi unuttu.,Jag misstänker att hon glömde att låsa sin bil idag.,,,
1089,Beginner,7. Time & Days,Always look both ways before you cross the street.,Caddeyi geçmeden önce her zaman sağa sola bakın.,Titta alltid åt båda hållen innan du går över gatan.,,,
1090,Beginner,7. Time & Days,Getting up early is the only way to catch the bus.,Otobüse yetişmenin tek yolu erken kalkmaktır.,Att gå upp tidigt är det enda sättet att hinna med bussen.,,,
1091,Beginner,7. Time & Days,Starting the project on Monday morning would really help.,Pazartesi sabahı projeye başlamak gerçekten çok yardımcı olurdu.,Att starta projektet på måndag morgon skulle verkligen hjälpa.,,,
1092,Beginner,7. Time & Days,Taking the back road could save you twenty minutes.,Arka yoldan gitmek sana yirmi dakika kazandırabilir.,Att ta bakvägen skulle kunna spara dig tjugo minuter.,,,
1093,Beginner,7. Time & Days,I would rather be early than risk being late.,Geç kalma riskini göze almaktansa erken olmayı tercih ederim.,Jag skulle hellre vara tidig än riskera att vara sen.,,,
1094,Beginner,7. Time & Days,I prefer getting up early over working late at night.,Gece geç saatlere kadar çalışmaktansa erken kalkmayı tercih ederim.,Jag föredrar att gå upp tidigt framför att arbeta sent på kvällen.,,,
1095,Beginner,7. Time & Days,We enjoy the morning sun more than the afternoon heat.,Öğleden sonra sıcağından çok sabah güneşinin tadını çıkarırız.,Vi njuter av morgonsolen mer än eftermiddagshettan.,,,
1096,Beginner,7. Time & Days,I finished the quarterly report with only minutes to spare.,Üç aylık raporu sadece dakikalar kala bitirdim.,Jag blev klar med kvartalsrapporten med bara minuter tillgodo.,,,
1097,Beginner,7. Time & Days,How do you handle difficult clients during a busy week?,Yoğun bir haftada zor müşterilerle nasıl başa çıkarsınız?,Hur hanterar du svåra kunder under en hektisk vecka?,,,
1098,Beginner,7. Time & Days,"Despite the heavy traffic, we arrived at the meeting on time.",Yoğun trafiğe rağmen toplantıya zamanında vardık.,Trots den intensiva trafiken kom vi fram till mötet i tid.,,,
1099,Beginner,7. Time & Days,Were you able to book a quiet room for Friday?,Cuma için sessiz bir oda ayırtabildin mi?,Kunde du boka ett tyst rum till fredag?,,,
1100,Beginner,7. Time & Days,He learned the basics of Italian in four weeks.,İtalyancanın temellerini dört haftada öğrendi.,Han lärde sig grunderna i italienska på fyra veckor.,,,
1101,Beginner,7. Time & Days,The receptionist answers calls from morning until late afternoon.,Resepsiyonist sabahtan geç öğleden sonraya kadar çağrıları yanıtlar.,Receptionisten svarar på samtal från morgon fram till sen eftermiddag.,,,
1102,Beginner,7. Time & Days,The director mentioned the meeting was postponed until Friday.,"Yönetmen, toplantının Cuma'ya kadar ertelendiğini belirtti.",Direktören nämnde att mötet sköts upp till fredag.,,,
1103,Beginner,7. Time & Days,They mentioned never having been to this city before.,Daha önce bu şehre hiç gitmediklerini belirttiler.,De nämnde att de aldrig hade varit i den här staden förut.,,,
1104,Beginner,7. Time & Days,The pilot announced we would be landing in ten minutes.,"Pilot, on dakika içinde ineceğimizi duyurdu.",Piloten meddelade att vi skulle landa om tio minuter.,,,
1105,Beginner,7. Time & Days,He explained that he missed the bus this morning.,Bu sabah otobüsü kaçırdığını açıkladı.,Han förklarade att han missade bussen i morse.,,,
1106,Beginner,7. Time & Days,"By Friday, they will have closed all the remaining tickets.",Cuma gününe kadar kalan tüm biletleri kapatmış olacaklar.,Senast fredag kommer de att ha stängt alla återstående ärenden.,,,
1107,Beginner,7. Time & Days,She will be traveling for work throughout the month.,"O, ay boyunca iş için seyahat edecek.",Hon kommer att resa i jobbet hela månaden.,,,
1108,Beginner,7. Time & Days,"By tomorrow morning, everyone will know about the change.",Yarın sabaha kadar herkes değişikliği bilecek.,Senast imorgon bitti kommer alla att känna till förändringen.,,,
1109,Beginner,7. Time & Days,"If we do not leave soon, we will be late.","Yakında çıkmazsak, geç kalacağız.","Om vi inte åker snart, blir vi sena.",,,
1110,Beginner,7. Time & Days,He will not notice the mistake until it is late.,İş işten geçinceye kadar hatayı fark etmeyecek.,Han kommer inte att märka misstaget förrän det är sent.,,,
1111,Beginner,7. Time & Days,"By next month, the new system will be in place.",Önümüzdeki aya kadar yeni sistem yerleşmiş olacak.,Vid nästa månad kommer det nya systemet att vara på plats.,,,
1112,Beginner,7. Time & Days,Global population growth may level off sooner than expected.,Küresel nüfus artışı beklenenden daha erken dengelenebilir.,Global befolkningstillväxt kan plana ut tidigare än förväntat.,,,
1113,Beginner,7. Time & Days,Mining asteroids may reshape the global supply of metals.,"Asteroit madenciliği, küresel metal arzını yeniden şekillendirebilir.",Asteroiderbrytning kan omforma det globala utbudet av metaller.,,,
1114,Beginner,7. Time & Days,Thousands of trees are planted here every year.,Burada her yıl binlerce ağaç dikilir.,Tusentals träd planteras här varje år.,,,
1115,Beginner,7. Time & Days,The Nobel Prize is announced each October.,Nobel Ödülü her Ekim ayında duyurulur.,Nobelpriset tillkännages varje oktober.,,,
1116,Beginner,7. Time & Days,Stolen artworks were recovered last week.,Çalınan sanat eserleri geçen hafta kurtarıldı.,Stulna konstverk återfanns förra veckan.,,,
1117,Beginner,7. Time & Days,The annual budget must be approved by the board.,Yıllık bütçenin yönetim kurulu tarafından onaylanması gerekir.,Den årliga budgeten måste godkännas av styrelsen.,,,
1118,Beginner,7. Time & Days,The university dates back to the fourteenth century.,Üniversite on dördüncü yüzyıla kadar uzanmaktadır.,Universitetet härstammar från 1300-talet.,,,
1119,Beginner,7. Time & Days,A new marathon record was set during yesterday's race.,Dünkü yarışta yeni bir maraton rekoru kırıldı.,Ett nytt maratonrekord sattes under gårdagens lopp.,,,
1120,Beginner,7. Time & Days,A strange noise came from the basement late last night.,Dün gece geç saatlerde bodrumdan garip bir ses geldi.,Ett konstigt ljud kom från källaren sent i går natt.,,,
1121,Beginner,7. Time & Days,The contract was signed with a notary this morning.,Sözleşme bu sabah noter huzurunda imzalandı.,Kontraktet undertecknades hos en notarius publicus i morse.,,,
1122,Beginner,7. Time & Days,Many lives were saved because the warning was early.,Uyarı erken olduğu için birçok hayat kurtarıldı.,Många liv räddades eftersom varningen var tidig.,,,
1123,Beginner,7. Time & Days,People in big cities often experience higher stress levels.,Büyük şehirlerdeki insanlar genellikle daha yüksek stres seviyeleri yaşarlar.,Människor i stora städer upplever ofta högre stressnivåer.,,,
1124,Beginner,7. Time & Days,The book I borrowed last week is very interesting.,Geçen hafta ödünç aldığım kitap çok ilginç.,Boken jag lånade förra veckan är mycket intressant.,,,
1125,Beginner,7. Time & Days,Yesterday's storm caused damage to the wooden pier.,Dünkü fırtına ahşap iskelede hasara neden oldu.,Gårdagens storm orsakade skador på träbryggan.,,,
1126,Beginner,7. Time & Days,Students who finished early were allowed to leave.,Erken bitiren öğrencilerin ayrılmasına izin verildi.,Elever som blev klara tidigt fick lov att gå.,,,
1127,Beginner,7. Time & Days,The car he bought last month has already broken.,Geçen ay aldığı araba çoktan bozuldu.,Bilen han köpte förra månaden har redan gått sönder.,,,
1128,Beginner,7. Time & Days,The report I submitted today includes the sales figures.,Bugün sunduğum rapor satış rakamlarını içeriyor.,Rapporten som jag lämnade in idag innehåller försäljningssiffrorna.,,,
1129,Beginner,7. Time & Days,The team that won last year is struggling this season.,Geçen yıl kazanan takım bu sezon zorlanıyor.,Laget som vann förra året kämpar den här säsongen.,,,
1130,Beginner,7. Time & Days,People who exercise often are less likely to get sick.,Sık egzersiz yapan insanlar daha az hastalanma eğilimindedir.,Människor som tränar ofta löper mindre risk att bli sjuka.,,,
1131,Beginner,7. Time & Days,The instructor who teaches the yoga class is very patient.,Yoga dersini veren eğitmen çok sabırlıdır.,Instruktören som undervisar i yogaklassen är väldigt tålmodig.,,,
1132,Beginner,7. Time & Days,The dream I had last night was strange and clear.,Dün gece gördüğüm rüya tuhaf ve netti.,Drömmen jag hade i natt var märklig och tydlig.,,,
1133,Beginner,7. Time & Days,I felt anxious because the project deadline was near.,Proje teslim tarihi yaklaştığı için endişeli hissettim.,Jag kände mig orolig eftersom projektets deadline var nära.,,,
1134,Beginner,7. Time & Days,Skipping the trip saved you from hours in traffic.,Geziyi atlamak sizi saatlerce trafikte kalmaktan kurtardı.,Att hoppa över resan besparade dig timmar i trafiken.,,,
1135,Beginner,7. Time & Days,Leaving the keys in sight would have helped today.,Anahtarları ortada bırakmak bugün yardımcı olurdu.,Att ha lämnat nycklarna synliga skulle ha hjälpt idag.,,,
1136,Beginner,7. Time & Days,City pollution often gets worse during hot summers.,Şehir kirliliği genellikle sıcak yaz aylarında kötüleşir.,Stadsföroreningar blir ofta värre under varma somrar.,,,
1137,Beginner,7. Time & Days,River flooding damaged the nearby village last night.,Nehir taşkını dün gece yakındaki köye hasar verdi.,Flodöversvämningen skadade den närliggande byn igår kväll.,,,
1138,Beginner,7. Time & Days,The central bank may raise interest rates very soon.,Merkez bankası çok yakında faiz oranlarını artırabilir.,Centralbanken kan höja räntorna mycket snart.,,,
1139,Beginner,7. Time & Days,Rising living costs worry many voters this year.,Bu yıl artan yaşam maliyetleri birçok seçmeni endişelendiriyor.,Stigande levnadskostnader oroar många väljare i år.,,,
1140,Beginner,7. Time & Days,Privatizing public services is a topic still debated today.,"Kamu hizmetlerinin özelleştirilmesi, bugün hâlâ tartışılan bir konudur.",Privatisering av offentliga tjänster är ett ämne som fortfarande debatteras idag.,,,
